fecha_deteccion;fecha_timeout;operador;proceso;codigo;descripcion;rango_consulta;time_taken_ms;status;status_code
2026-05-11 16:44:42;2026-05-11 16:34:11;CLARO;Activación Servicios;TIMEOUT_32265ms;Timeout: 32,265ms;now-7d;32265;;
2026-05-11 16:25:06;2026-05-11 16:16:33;CLARO;Activación Servicios;TIMEOUT_33099ms;Timeout: 33,099ms;now-7d;33099;;
2026-05-11 15:50:16;2026-05-11 15:37:34;CLARO;Activación Servicios;TIMEOUT_34837ms;Respuesta lenta: 34,837 ms (>30s);Importación histórica;34837;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 13:21:45;CLARO;Activación Servicios;TIMEOUT_33154ms;Respuesta lenta: 33,154 ms (>30s);Importación histórica;33154;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 12:14:43;CLARO;Activación Servicios;TIMEOUT_31999ms;Respuesta lenta: 31,999 ms (>30s);Importación histórica;31999;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 12:06:17;CLARO;Activación ONT;TIMEOUT_33496ms;Respuesta lenta: 33,496 ms (>30s);Importación histórica;33496;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 12:02:43;CLARO;Activación Servicios;TIMEOUT_33034ms;Respuesta lenta: 33,034 ms (>30s);Importación histórica;33034;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 12:02:24;CLARO;Cambio ONT;TIMEOUT_30581ms;Respuesta lenta: 30,581 ms (>30s);Importación histórica;30581;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 12:02:24;CLARO;Cambio ONT;TIMEOUT_30964ms;Respuesta lenta: 30,964 ms (>30s);Importación histórica;30964;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 11:57:44;CLARO;Activación Servicios;TIMEOUT_31818ms;Respuesta lenta: 31,818 ms (>30s);Importación histórica;31818;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 11:57:44;CLARO;Activación Servicios;TIMEOUT_32697ms;Respuesta lenta: 32,697 ms (>30s);Importación histórica;32697;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 10:51:57;CLARO;Activación Servicios;TIMEOUT_39499ms;Respuesta lenta: 39,499 ms (>30s);Importación histórica;39499;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 10:51:56;CLARO;Activación Servicios;TIMEOUT_41069ms;Respuesta lenta: 41,069 ms (>30s);Importación histórica;41069;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 10:28:33;CLARO;Activación Servicios;TIMEOUT_33337ms;Respuesta lenta: 33,337 ms (>30s);Importación histórica;33337;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 10:28:33;CLARO;Activación Servicios;TIMEOUT_32865ms;Respuesta lenta: 32,865 ms (>30s);Importación histórica;32865;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 10:15:38;CLARO;Activación Servicios;TIMEOUT_34650ms;Respuesta lenta: 34,650 ms (>30s);Importación histórica;34650;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 10:01:48;CLARO;Activación Servicios;TIMEOUT_34433ms;Respuesta lenta: 34,433 ms (>30s);Importación histórica;34433;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 10:01:48;CLARO;Activación Servicios;TIMEOUT_30329ms;Respuesta lenta: 30,329 ms (>30s);Importación histórica;30329;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 09:10:32;CLARO;Activación Servicios;TIMEOUT_34843ms;Respuesta lenta: 34,843 ms (>30s);Importación histórica;34843;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 09:10:32;CLARO;Activación Servicios;TIMEOUT_34142ms;Respuesta lenta: 34,142 ms (>30s);Importación histórica;34142;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 08:58:23;CLARO;Activación Servicios;TIMEOUT_33616ms;Respuesta lenta: 33,616 ms (>30s);Importación histórica;33616;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 08:55:40;CLARO;Activación Servicios;TIMEOUT_36813ms;Respuesta lenta: 36,813 ms (>30s);Importación histórica;36813;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-11 07:36:01;CLARO;Activación Servicios;TIMEOUT_34488ms;Respuesta lenta: 34,488 ms (>30s);Importación histórica;34488;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 16:37:59;CLARO;Activación Servicios;TIMEOUT_33928ms;Respuesta lenta: 33,928 ms (>30s);Importación histórica;33928;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 16:37:59;CLARO;Activación Servicios;TIMEOUT_33511ms;Respuesta lenta: 33,511 ms (>30s);Importación histórica;33511;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 15:00:03;CLARO;Activación Servicios;TIMEOUT_39427ms;Respuesta lenta: 39,427 ms (>30s);Importación histórica;39427;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 15:00:03;CLARO;Activación Servicios;TIMEOUT_39250ms;Respuesta lenta: 39,250 ms (>30s);Importación histórica;39250;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 13:24:13;CLARO;Activación ONT;TIMEOUT_33873ms;Respuesta lenta: 33,873 ms (>30s);Importación histórica;33873;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 12:46:13;CLARO;Activación Servicios;TIMEOUT_42384ms;Respuesta lenta: 42,384 ms (>30s);Importación histórica;42384;SUCCESS;200.0
